Symbol,Name,Spread As Low as (Quote currency),Long Swap Value (in percentage),Short Swap Value (in percentage),Leverage Up To,
ATMUSD,Cosmos (Atom) Vs US Dollar	,0.07,-20,-20,1:100,<a href=https://baxiamarkets.com/cosmos-atom-cryptocurrency> Read more </a>
AVXUSD,Avax (Avalanche) Vs US Dollar,0.1,-20,-20,1:100,<a href=https://baxiamarkets.com/avax-avalanche-cryptocurrency> Read more </a>
AVEUSD,Aave vs US Dollar,1.51,-20,-20,1:100,<a href=https://baxiamarkets.com/aave-cryptocurrency> Read more </a>
ADAUSD,Cardano vs US Dollar,0.00125,-20,-20,1:100,<a href=https://baxiamarkets.com/cardano-cryptocurrency> Read more </a>
BATUSD,Basic Attention Token vs US Dollar,0.00415,-20,-20,1:100,<a href=https://baxiamarkets.com/basic-attention-token-bat-cryptocurrency> Read more </a>
BTCUSD,Bitcoin vs US Dollar,26.82,-20,-20,1:100,<a href=https://baxiamarkets.com/bitcoin-btc-cryptocurrency> Read more </a>
BNBUSD,Binance Coin vs US Dollar,0.35,-20,-20,1:100,<a href=https://baxiamarkets.com/binance-coin-bnb-cryptocurrency> Read more </a>
BCHUSD,Bitcoin Cash vs US Dollar,1.12,-20,-20,1:200,<a href=https://baxiamarkets.com/bitcoin-cash-bch> Read more </a>
CMPUSD,Compound vs US Dollar,0.8,-20,-20,1:100,<a href=https://baxiamarkets.com/compound-comp-cryptocurrency> Read more </a>
CRVUSD,Curve DAO Token vs US Dollar,0.018,-20,-20,1:100,<a href=https://baxiamarkets.com/curve-dao-token-crv-crypto> Read more </a>
DOTUSD,Polkadot vs US Dollar,0.024,-20,-20,1:100,<a href=https://baxiamarkets.com/polkadot-dot-cryptocurrency> Read more </a>
DOGUSD,Dogecoin vs US Dollar,0.00048,-20,-20,1:100,<a href=https://baxiamarkets.com/dogecoin-doge-cryptocurrency> Read more </a>
ETHUSD,Ethereum vs US Dollar,1.76,-20,-20,1:200,<a href=https://baxiamarkets.com/ethereum-eth-cryptocurrency> Read more </a>
EOSUSD,EOS vs US Dollar,0.009,-20,-20,1:100,<a href=https://baxiamarkets.com/eos-cryptocurrency> Read more </a>
KSMUSD,Kusama vs US Dollar,0.072,-20,-20,1:100,<a href=https://baxiamarkets.com/kusama-ksm-cryptocurrency> Read more </a>
LRCUSD,Loopring vs US Dollar,0.0058,-20,-20,1:100,<a href=https://baxiamarkets.com/loopring-lrc-cryptocurrency> Read more </a>
LTCUSD,Litecoin vs US Dollar,0.95,-20,-20,1:200,<a href=https://baxiamarkets.com/litecoin-ltc-cryptocurrency> Read more </a>
MKRUSD,Maker vs US Dollar,3.2,-20,-20,1:100,<a href=https://baxiamarkets.com/maker-mkr-cryptocurrency> Read more </a>
MANUSD,Decentraland (MANA) Token vs US Dollar,0.0023,-20,-20,1:100,<a href=https://baxiamarkets.com/decentraland-mana-cryptocurrency> Read more </a>
MATUSD,Polygon (MATIC) vs US Dollar,0.00253,-20,-20,1:100,<a href=https://baxiamarkets.com/polygon-matic-cryptocurrency> Read more </a>
NERUSD,NEAR Protocol vs US Dollar,0.035,-20,-20,1:100,<a href=https://baxiamarkets.com/near-protocol-cryptocurrency> Read more </a>
OMGUSD,OMG Network vs US Dollar,0.0015,-20,-20,1:100,<a href=https://baxiamarkets.com/omg-network-cryptocurrency> Read more </a>
SNDUSD,The Sandbox (SAND) vs US Dollar,0.0101,-20,-20,1:100,<a href=https://baxiamarkets.com/sandbox-sand-cryptocurrency> Read more </a>
SOLUSD,Solana vs US Dollar,0.007,-20,-20,1:100,<a href=https://baxiamarkets.com/solana-cryptocurrency> Read more </a>
SUSUSD,SushiSwap (SUSHI) vs US Dollar	,0.013,-20,-20,1:100,<a href=https://baxiamarkets.com/sushiswap-sushi-cryptocurrency> Read more </a>
TRXUSD,Tron vs US Dollar,0.000323,-20,-20,1:100,<a href=https://baxiamarkets.com/tron-trx-cryptocurrency> Read more </a>
XLMUSD,Stellar Lumens vs US Dollar	,0.00098,-20,-20,1:100,<a href=https://baxiamarkets.com/stellar-lumens-xlm-crypto> Read more </a>
XRPUSD,Ripple vs US Dollar,0.0014,-20,-20,1:200,<a href=https://baxiamarkets.com/ripple-xrp-cryptocurrency> Read more </a>
XTZUSD,Tezos vs US Dollar,0.005,-20,-20,1:100,<a href=https://baxiamarkets.com/tezo-xtz-cryptocurrency> Read more </a>
